stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,8.17,16.35,0,0,0,53.12,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,1.07,0,0,0,0,0
21Day,2.68,6.69,10.71,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0
3Month,1.92,0,0,0.64,0.32,0,10.56,0.64,0.96,1.92,0,0.32,1.28,0,0.32,0,0,0,0.64,0,0.64,0.32
22Month,0.55,0,1.09,0,3.83,0.55,34.99,2.19,1.64,1.64,0.55,0.55,2.19,0.55,0.55,0,0,0.55,0,0.55,0.55,0
