stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,1.07,1.07,0,1.07,77.02,0,1.07,2.14,0,0
21Day,0,1.34,1.34,2.68,0,1.34,92.36,0,0,0,0,0
3Month,0.64,0,0,0,0.32,0,2.24,0.32,0,0,0.32,0.32
22Month,0,0,0,0,0.55,0,0,0,0,0,0,0
