stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,8.17,0,0,12.26,0,4.09,0,0,0,0,4.09,0,0,0,0,0,8.17,12.26,16.35,0,0,0,4.09,81.73,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,3.21,2.14,3.21,0,0,0,0,0,0,0,1.07,0,2.14,20.33,1.07,6.42,0,3.21,0,42.79,20.33,1.07,1.07,3.21,1.07,0,3.21,1.07,1.07,0,0,0
21Day,5.35,1.34,0,24.09,0,2.68,1.34,0,1.34,0,0,1.34,0,2.68,0,1.34,18.74,6.69,21.42,0,0,0,14.72,6.69,0,1.34,6.69,1.34,0,1.34,0,0,1.34,0,0
3Month,0,4.16,2.88,6.08,0,0,0,5.12,1.6,0,0,3.52,2.88,0.64,6.08,0.32,2.56,2.24,5.44,1.28,0,2.56,2.24,0,0.32,0,0.32,0.32,9.28,0,0,0,0.64,6.4,2.24
22Month,0,1.64,4.92,3.28,0,0,0,1.09,6.01,0.55,0,12.03,2.19,1.64,11.48,0.55,0,3.83,6.01,0.55,1.09,0,1.09,0,0,0.55,0.55,0,9.29,1.09,0,0,0,1.64,1.09
