stage,Goblet_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,4.09,4.09
72hpf,0,0,0,1.07,3.21,0
21Day,0,0,2.68,2.68,0,0
3Month,0.32,0,0.32,0,0,0
22Month,0,0.55,0,0,0,0
