stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Osteoblast,T_cell
72hpf,0,0,0,0,0,0,1.07,0,0,0
21Day,2.68,0,1.34,1.34,72.28,1.34,1.34,1.34,1.34,0
3Month,0,0.32,0,0,0,0,0.64,0,0,0.32
