stage,Epithelial_cell,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,1.07,0,0,0,3.21,0,0
3Month,0.64,0,0.32,0,0,0.64,0.96
22Month,0,0.55,0,0.55,0,0,0
