stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,4.09,0,0,0,4.09,16.35,0,0,4.09,0
72hpf,0,1.07,0,0,0,0,10.7,0,0,1.07,1.07
21Day,0,9.37,0,1.34,0,0,21.42,0,0,0,0
3Month,0,1.28,0,0,0.32,0,0,0.32,0,0,0
22Month,0.55,0,1.64,0,0,0,0,0,0.55,0,0
