stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,11.77,2.14,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,2.14,0,0,1.07,0,0,0,0,0
21Day,0,0,30.79,6.69,0,4.02,0,0,0,0,0,0,0,1.34,0,0,0,16.06,0,1.34,0,0,0,1.34,0,0,0,0
3Month,0,0.32,57.27,0,1.28,0,2.24,2.24,5.44,1.6,0.32,2.24,0.32,0.32,1.28,0.64,0.32,36.47,0.32,0,0.64,0.32,0,1.6,0.96,0.32,1.28,0.64
22Month,0,0,32.8,0,1.09,0,2.19,2.73,26.79,2.19,1.09,4.37,0.55,0.55,3.28,1.64,0,30.07,0,0,0,0,0,0,0,0,0,0
