stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,56.7,3.21,1.07,1.07,0,0,0,0,4.28,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,1.34,1.34,0,0,1.34,0,0,0,0,17.4,1.34,0,0,0,0,2.68,0,1.34,1.34,0,0,0
3Month,0,1.92,17.6,0.64,1.92,2.56,0.32,25.6,3.84,0.96,4.48,0.96,6.08,2.56,4.48,0.96,0,0.32,0.64,0.96,0.32,0.96,0,0,0.64,0.96,14.72,0,0,1.92,2.56,2.56
22Month,0,1.09,3.28,0.55,0.55,1.64,0.55,26.79,0,1.09,4.37,1.09,1.09,3.28,3.28,0,1.09,0,0,0.55,0,0,0,0.55,0.55,0,1.09,0,0,0,0,0.55
