stage,Epithelial_cell,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,8.17,0,4.09,0,0,0,0,0,20.43,0,0,0,0
72hpf,0,1.07,0,0,0,0,1.07,3.21,3.21,0,1.07,0,0
21Day,0,0,0,0,0,0,1.34,5.35,0,0,1.34,0,0
3Month,0.64,0,0,0.64,0.32,0.32,0,0,0,0.64,0,0.64,0.32
22Month,0,0,0,1.09,0,0,0,0,0,0,0,0,0
