stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,57.21,44.95,208.41,20.43,0,0,0,0,0,0,4.09,0,0,0,77.64,8.17,8.17,1054.29,0,0,0,32.69,40.86,1924.7,0,0,143.02,0,0,0,0,0,49.04,0,0,0
72hpf,58.84,39.58,54.56,22.47,12.84,0,0,0,0,0,0,0,0,0,35.3,41.72,2.14,743.5,0,16.05,39.58,3.21,119.82,295.26,0,8.56,561.64,6.42,0,143.35,0,0,16.05,0,0,0
21Day,62.91,14.72,84.33,12.05,9.37,0,1.34,0,0,1.34,0,12.05,4.02,12.05,2.68,30.79,5.35,357.39,0,0,24.09,0,22.76,68.27,0,5.35,145.9,8.03,0,18.74,4.02,4.02,4.02,0,0,0
3Month,0,1.6,12.48,0.64,0,0,0,1.6,0.64,0,0,26.56,0,10.88,0.96,7.68,0.96,2.88,0.32,0,0.32,0.64,0.64,0,0.32,0.32,0,2.24,3.2,0,0,0,0,0.32,1.28,0.96
22Month,0,1.09,5.47,0,0,0.55,0,1.09,0.55,13.67,0,28.97,0,8.75,0,4.92,0.55,6.01,0,0,0,0,0,0,0,0,0,0,1.64,0,0.55,0,0,0,0,0
