stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,1.07,0,1.07,0,0,0,0
21Day,6.69,0,4.02,5.35,1.34,0,0,0,0,0,0,10.71,2.68,0,4.02,2.68,2.68,0,2.68,2.68,1.34,0,0,4.02
3Month,0,0,0,0.64,0,0,0,0,0.32,0,0,0,0.96,0,0,0.32,0,0,0,0,0,0,0.32,0
22Month,0,1.09,0,3.83,0,0.55,0.55,0.55,1.09,0.55,17.49,2.73,23.51,0,0.55,4.37,0.55,0,0.55,0,0,0.55,0,1.64
