stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,1.07,0,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,0,6.69,0,1.34,1.34,0,0,0,0,0,4.02,0,0,9.37,0,0,0,0,0,0,0,1.34,0,1.34,0,0,1.34
3Month,0,1.92,5.76,0.32,0,0,2.24,2.24,0,9.28,0.96,0,9.92,0.64,0.32,2.56,0.96,0,0.64,0.96,0.96,0.32,0,1.6,0,0.64,0.64,5.44
22Month,0,0.55,1.09,0,0,0,0,2.73,0.55,6.01,1.09,0,4.92,0,0,2.73,0.55,0.55,0,0,0,0.55,0,0,0,0,0,1.64
