stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,28.6,0,0,0,0,0,0,0,0,0,0,4.09,110.33,4.09,4.09,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,22.47,0,1.07,0,0,0,0,0,0,2.14,0,2.14,203.26,0,7.49,0,0,0,0,11.77,5.35,0,3.21,0,1.07,1.07,0,0,0,0,0
21Day,2.68,0,148.58,0,1.34,0,0,0,0,2.68,0,4.02,0,8.03,208.81,0,6.69,0,0,2.68,0,5.35,2.68,0,2.68,1.34,0,0,1.34,1.34,0,0,0
3Month,0.32,0,179.17,0.32,0,0.96,0.64,0.64,0,8,5.12,0,3.2,19.84,15.36,1.92,2.88,0.32,0,0.32,0.32,0.64,0.32,0.32,0.32,1.6,13.76,0,0,0,0.64,4.8,1.92
22Month,0,0.55,20.77,0,0,0,0,3.28,1.09,37.17,2.19,0,2.19,7.65,1.09,1.09,1.09,0,0.55,0,0.55,0.55,0,1.09,0,0.55,24.6,0,0,0,0,0,0.55
