stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,11.77,1.07,0,0,0,0,5.35,5.35,0,0
21Day,1.34,2.68,1.34,4.02,0,0,0,1.34,1.34,0,2.68,0,5.35,4.02,0,56.22,2.68,0,0,0,2.68,46.85,176.69,0,0
3Month,0,5.12,0,0,0.96,0.64,3.2,0,2.24,0.32,0.96,1.28,1.6,0.32,0.64,0.32,0,0,0.64,21.44,0,0,0,16.64,0.64
22Month,0,0,0,0,1.09,1.09,1.64,0,0.55,0,0,10.93,0.55,0,0,0,0,0.55,0,2.73,0,0,0,0,0.55
