stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.64,0.32,9.6,0,0.32,0,1.28,3.52,0,26.56,4.48,0.64,5.44,0.96,1.92,3.2,5.44,0.32,0,0.64,0.96,0,0,1.28,0.32,0,0,5.12,0.32,0.32,0.96,1.28
22Month,5.47,1.09,7.65,0,1.09,1.64,1.64,9.84,4.37,205.54,7.11,3.28,22.96,2.19,1.09,5.47,20.23,0,6.01,3.83,0,1.64,0,1.64,3.83,2.19,0.55,1.64,1.64,1.64,0,3.83
