stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,7.49,0,0,1.07,0,0,0,0,0,0,0,3.21,2.14,10.7,0,1.07,0,0,5.35,6.42,0,29.95,0,0,4.28,0,0,0,0
21Day,5.35,0,4.02,2.68,2.68,0,0,0,0,0,0,1.34,0,1.34,2.68,16.06,0,0,1.34,0,0,2.68,0,14.72,0,0,2.68,0,0,0,0
3Month,0.32,0,2.88,0,0,0.32,1.28,0.64,0,2.56,0.32,0.64,0.32,0.96,4.16,6.08,1.28,0,0.64,0.32,0.32,0,0,0.32,0.32,0.64,0.32,0.32,0.32,0.32,1.28
22Month,0,0,0.55,0,0,0,0,2.19,1.64,7.11,2.19,0,0,0.55,1.64,3.28,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0
