stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,4.09,0,0,16.35,0,0,0,0
72hpf,3.21,1.07,0,0,1.07,9.63,2.14,1.07,0,0,1.07
21Day,0,0,1.34,0,0,0,0,0,1.34,1.34,0
