stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,0,1.34,0,2.68,0,0,4.02,0,0,2.68,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,2.68
3Month,0.32,0.64,0.64,2.88,0,1.28,2.88,4.16,20.16,0.32,4.16,0.32,1.28,2.88,0.96,0.32,0.32,0.96,0.32,0.96,0.64,0.96,4.16,0,0.32,54.39,22.72
22Month,0,0,0.55,2.19,0,0,11.48,17.49,6.56,0.55,2.19,0,0,3.83,1.09,0,0,0,0,0.55,0.55,0,0.55,0,0,0.55,6.01
