stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,6.42,0,0,0,0,1.07,1.07,0,0,0
21Day,0,1.34,2.68,1.34,1.34,2.68,2.68,0,6.69,0,12.05,4.02,1.34,4.02,0,1.34,57.56,139.21,0,0,0
3Month,0,0.32,0,0,2.24,1.28,0,0.64,0.32,0,0.64,0,0,0,14.72,0,2.56,1.6,0.32,5.44,0.32
22Month,0.55,0,0,0,4.92,0,0,0,0,0.55,0,0,0,0,3.28,0,0,0,0,0,0
