stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,1.07,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34
3Month,0,0.32,0.32,0.96,0,1.28,1.6,0.32,1.28,0.32,0.32,0,0.32,0,0,0,0.96
22Month,0.55,0.55,0,13.67,0.55,6.01,0,0,3.83,2.73,0,0.55,0.55,0,0,0,1.09
