stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,2.14,0,0,0,0,2.14,1.07,0,0,0,0
21Day,0,2.68,0,1.34,0,0,0,0,20.08,0,0,0,0,1.34,0,0,1.34,0,0
3Month,0.32,4.48,0.64,0.32,0.96,0.32,2.56,0.32,0.32,0.64,1.6,0.96,0.32,0,0,0.32,0,0.32,0.64
22Month,0,0,0,0,0.55,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
