stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,1.07,1.07,2.14,0,0,0,9.63,2.14,0,0,0,0,0,0,0,0
21Day,2.68,0,0,9.37,8.03,0,8.03,0,0,0,5.35,0,1.34,0,0,10.71,2.68,0,0,0,0,2.68,2.68,0,4.02,0,1.34,0,0,0,1.34
3Month,0,0.32,0.32,3.52,0,0.32,0,1.28,1.92,0,7.36,4.8,0,0.64,0.32,0.96,3.52,2.56,0,0.32,0.32,0,0,0,0,0.96,6.72,0,0.32,60.79,7.68
22Month,0,0,0,2.73,0,0,0,0,1.64,1.09,42.09,3.83,1.09,1.64,0,0,5.47,3.28,1.64,1.09,0,0,0,0.55,0,0,7.65,0.55,0,0,1.09
