stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,4.09,0,0,0,0,32.69,40.86,61.3,0,0
72hpf,0,0,1.07,0,0,1.07,8.56,2.14,1.07,0
21Day,0,1.34,0,1.34,2.68,2.68,1.34,1.34,0,1.34
3Month,0,1.92,0,0,0.64,0,0,0,0,0.32
22Month,0,0,0,0,0,0,0,0,0,3.83
