stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,1.07,1.07,4.28,0,0,0,0,1.07,0,0,1.07,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,1.34,0,0,0,13.39,2.68,0,0,1.34,0,2.68,0,0,0,1.34,0,0,0
3Month,0,7.36,0,0.32,27.84,0,3.52,1.28,0.64,1.28,0.64,4.16,38.07,12.16,2.24,0.32,0,0.32,0,0,0.32,0.64,0,0.32,1.28,1.28
22Month,1.09,3.83,0.55,0,63.41,0.55,13.67,0.55,1.64,1.09,1.09,0,48.65,15.31,0,0,0,0,0,0,0,0.55,0,0.55,0,0
