stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0,4.09,0,0,0,0,167.54,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,2.14,0,38.51,1.07,1.07,0,0,0,0,0,0,3.21,310.24,0,4.28,13.91,9.63,0,4.28,0,0,0,0,0
21Day,0,0,24.09,0,1.34,0,0,0,0,0,0,0,38.82,0,0,2.68,0,0,1.34,0,1.34,1.34,0,0
3Month,0,0.32,78.71,0,0,0.32,0.64,0,2.88,0.96,1.28,0.64,4.8,0.96,0.64,0,0,0.32,0,0.32,3.52,0,0.32,0.96
22Month,0,0,8.75,0,0,0,0,0,4.92,0.55,0.55,0,2.19,0.55,0,0,0,0,0,0,1.09,0,0,0
