stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,0,0,5.35,0,0,1.07,0,0,0,0,0,0
21Day,0,2.68,0,1.34,0,0,0,0,2.68,0,0,0,0,0,0,4.02,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,2.88,2.24,8.32,0.96,0.64,0.64,0,178.85,1.6,0,9.28,0,1.92,0.32,1.28,0.32,0.32,1.28,0.64,0.64,0,0,0.32,4.8,2.24,0.32,0.32,1.6,1.28
22Month,0,1.09,1.64,11.48,0,0,1.09,13.12,129.56,0,0.55,13.67,0,0.55,1.09,1.09,0.55,2.19,1.64,0,0,0,1.09,0,0,5.47,0.55,0,0,0
