stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,3.21,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,4.28,0,0,0,110.19,3.21,0,5.35,0,0,1.07,0,0
21Day,0,0,0,4.02,0,4.02,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,93.7,0,0,4.02,2.68,0,1.34,0,0
3Month,0,0.64,0.32,1.92,0.32,0,0,0,3.52,2.56,0,1.6,0,0.32,0,1.28,0.32,0.64,0.32,1.6,0,1.92,0,0.32,0.64,0,12.48,0
22Month,0,1.09,0,0,0,0,0.55,1.09,19.13,0,0.55,1.09,0.55,0.55,1.09,0.55,0,0,0,3.28,0,2.19,0,0,0,1.09,0,0.55
