stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,5.35,1.07,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,22.76,0,2.68,0,4.02,0,0,0,0,0,0,5.35,0,1.34,13.39,8.03,4.02,0,1.34,0,0,1.34,0,2.68,1.34,0,1.34,0,0,2.68
3Month,0.64,0.32,6.72,0,0,0,0,0,2.24,2.24,0,0.64,1.28,0,6.4,0.64,1.28,4.8,0.64,0.96,0.96,0.32,0,0.32,0,0.32,1.92,0,0,0.64,1.6,5.12
22Month,2.19,3.28,8.75,0.55,0,1.09,1.09,0.55,7.11,31.16,7.11,12.57,4.92,3.28,30.61,0.55,1.09,30.07,12.03,0,1.09,0.55,0,0.55,0.55,0,4.92,1.09,0,2.19,0,3.83
