stage,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0
21Day,0,1.34,0,0,0,1.34,0,0,0,1.34,1.34,0,0,0,0
3Month,0,0,0.32,0,0.64,0,0.64,0.32,0.64,0,0,0,0,0.32,0.32
22Month,1.09,0,0,1.64,4.37,0.55,0,0,0,1.09,1.09,0,0,2.19,0
