stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte
24hpf,0,0,0,0,4.09,0,0,4.09,0
72hpf,1.07,0,0,0,0,3.21,1.07,5.35,0
21Day,0,1.34,0,0,0,0,0,2.68,1.34
3Month,0,0,0.32,0.32,0,0.32,0,0,0
