stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,6.42,1.07,0,0,0,0,1.07,0,1.07,0,0
21Day,4.02,0,0,5.35,0,0,0,0,0,0,0,1.34,0,0,14.72,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0,0.32,1.92,0.32,0,0.32,0.96,0,6.08,0.96,0.32,1.28,0.64,0.64,0,0.96,0,0,0.32,0.32,0,0,0,0,0.64,0.96,0,0,0,0.32,1.28
22Month,0,3.28,0.55,13.67,0,1.09,1.09,15.31,3.28,118.08,8.2,2.19,10.39,0.55,7.11,13.67,28.43,1.64,1.09,1.64,0.55,2.73,0,5.47,2.19,0.55,2.19,1.64,0,0,0,3.28
