stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.91,2.14,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,2.68,0,2.68,0,0,0,1.34,0,0,0
3Month,0,0,0.64,0,0.32,0.32,0,0,4.8,0.64,0.32,0.32,0,0.64,0.32,0,0,0,0,0,0,0.32,0.32,0.32
22Month,0,0.55,3.83,0.55,0,0,1.09,1.09,37.72,0,0,2.73,0.55,4.37,3.28,1.09,0,0,0.55,0.55,0.55,0,0,0
