stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,1.07,0,0,0,0,0,0,0,6.42,1.07,0,0,0,3.21,2.14,0,0,1.07,0,0,0,1.07,0,0
21Day,2.68,0,0,0,1.34,1.34,0,0,0,0,0,0,4.02,0,0,0,0,1.34,0,0,1.34,0,4.02,0,1.34,2.68,0,0
3Month,0,0.32,0.32,3.52,0,0,0.32,2.56,3.84,0.64,1.28,1.28,1.6,1.28,0.32,0,0.96,0.32,0.32,0.96,0,0,0,2.24,0,0,0.32,0.96
22Month,0,0,0,0,0,0,0,2.19,5.47,1.64,1.09,0,0,1.09,0.55,1.09,0,0,0,0,1.09,0,0,0,0.55,0,0,0
