stage,Epithelial_cell__Brain_,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,4.09,0,4.09,0
72hpf,1.07,1.07,1.07,0,1.07
21Day,0,2.68,1.34,0,1.34
