stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,32.09,6.42,0,55.63,85.58,105.91,8.56,0,0,1.07,0,0,0,104.84,93.07,4.28,1663.53,0,1.07,2.14,4.28,533.83,239.63,4.28,6.42,114.47,0,1.07,48.14,5.35,0,6.42,0,0
21Day,53.54,13.39,5.35,200.78,2.68,155.27,21.42,9.37,2.68,48.19,6.69,50.86,25.43,10.71,82.99,45.51,694.7,1.34,2.68,24.09,4.02,278.41,133.85,1.34,9.37,77.63,44.17,1.34,26.77,8.03,40.16,8.03,1.34,50.86
22Month,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
