stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,2.14,0,2.14,0,0,0,0,0,0,0,0,0,2.14,2.14,1.07,0,0,0,117.68,17.12,0,0,3.21,0,5.35,1.07,0,0
21Day,2.68,1.34,4.02,0,0,0,0,0,0,0,0,0,1.34,0,5.35,0,0,0,62.91,9.37,0,1.34,1.34,0,6.69,4.02,0,0
3Month,0.32,1.28,0,0,0.32,0,0,0.96,0.96,0.32,1.28,0.32,0.32,0.32,1.6,0.32,0,0.32,0.64,0,0.32,2.88,0,23.36,0.64,0,23.04,0
22Month,0,0,0,0.55,0,0.55,1.09,5.47,0,0,2.73,0,0,0.55,1.64,0,1.64,0.55,0.55,0,0,4.37,0,0.55,0.55,0,0,1.09
