stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,29.95,7.49,1.07,0,0,2.14,0,0
21Day,0,2.68,2.68,0,0,0,0,0,0,0,1.34,0,0,0,0,14.72,5.35,1.34,1.34,0,0,0,0
3Month,0,2.56,26.24,0.32,0.96,1.92,4.16,0.32,0.32,0.64,0,0.64,0,0.96,0.64,0.64,0,1.6,0,9.6,0,0.64,3.2
22Month,0,2.73,6.01,1.09,0.55,1.09,10.39,0,0,2.19,0,0,1.09,0.55,0,0,0.55,3.28,0,2.73,0,0,0
