stage,Cardiomyocyte,Endothelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Oligodendrocyte
24hpf,4.09,0,0,0,0,4.09,4.09,0
72hpf,2.14,0,0,0,0,0,1.07,0
3Month,0,0,1.28,0.32,0.64,0,0,0
22Month,0,0.55,3.28,0,0,0,0,0.55
