stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Osteoblast
21Day,0,4.02,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.64,0.32,3.84,0.96,9.92,0.32,0,0,1.28,0.32,0.32
22Month,0,0.55,0,0.55,2.73,2.19,0,0.55,0.55,0,0,0
