stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,1.07,0,7.49,8.56,0,0,0,0,0,0,2.14,16.05,1.07,9.63,2.14,1.07,0,1285.89,62.05,4.28,21.4,19.26,0,0,13.91,1.07,0,2.14,0,0,0
21Day,8.03,0,0,12.05,9.37,0,1.34,1.34,1.34,0,2.68,1.34,5.35,0,13.39,0,2.68,0,475.18,12.05,1.34,9.37,5.35,9.37,5.35,1.34,4.02,5.35,0,0,0,1.34
3Month,0,0,0.32,4.8,0,0.64,0.32,4.16,0.96,0.32,2.88,0.64,2.24,1.28,1.28,0,0.32,0.32,4.48,0,1.6,0.32,0,0.32,59.83,0,0,0,0,0.32,6.08,0.32
22Month,0,0,0.55,1.64,0,1.09,2.73,14.21,0,0,0.55,1.09,0,0.55,1.64,0,0,0,1.09,0,7.11,1.64,0,1.64,31.71,0,0.55,0,0,0.55,0,0
