stage,Endothelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Nephron_cell,Oocyte,Primordial_germ_cell,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,1.34
3Month,0,0.96,0.32,0.32,0.32,0.32,0.32,0,1.6,0.32
22Month,0,0,0,0,1.09,0,0,2.19,1.09,0
