stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,40.86,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.91,12.84,0,2.14,0,0,0,0,0,0
21Day,2.68,0,0,4.02,4.02,0,1.34,0,0,0,0,0,16.06,0,2.68,0,2.68,0,0,0,0,6.69,4.02,0,0,1.34,0,0,0,0,25.43
3Month,0.32,0.32,0,2.24,0,0.64,0.32,0.32,1.92,0,4.8,0.96,0.32,2.24,0.96,0.96,2.56,0.64,0,0.32,0.64,0.32,0,0.32,0,0.96,3.52,0,0.32,2.24,24.96
22Month,0,4.37,1.09,7.11,0,1.64,1.09,2.73,6.01,3.83,75.44,2.19,0.55,12.57,1.09,7.65,4.92,0.55,3.28,1.64,0,1.09,0,2.73,0.55,0.55,3.83,2.19,0.55,0,12.57
