stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,53.12,0,4.09,0,0,0,0
72hpf,2.14,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,42.79,21.4,0,6.42,0,2.14,0,0
21Day,0,0,10.71,1.34,2.68,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,16.06,9.37,0,2.68,0,5.35,0,0
3Month,0,0.64,6.72,0,0,0,1.28,0,2.56,0.64,0,0.32,0.64,1.28,0,4.16,0.32,3.84,0,0.64,0.64,0,1.28,0,0.32,2.56
22Month,0,0.55,0.55,0,0,0.55,3.83,1.09,9.84,0.55,1.09,0.55,0,0,1.09,4.37,0,0,1.09,0.55,0,0,1.09,0,0,0
