stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,416.81,0,0,0,0,4.09,0,0,0,0,0
72hpf,20.33,4.28,6.42,1.07,17.12,0,0,0,0,0,0,0,2.14,38.51,2.14,28.88,0,3.21,1.07,686.81,1525.52,14.98,23.54,0,0,375.5,0,1.07,1.07,0,0
21Day,2.68,0,14.72,0,10.71,1.34,0,0,0,0,1.34,0,0,8.03,1.34,14.72,0,1.34,0,178.02,250.31,6.69,6.69,10.71,0,73.62,1.34,4.02,0,0,1.34
3Month,0,0,1.92,0,0,0,0.32,0,2.56,1.28,0.32,0.96,1.28,0.32,0.64,0,0.32,0.32,0.32,3.52,4.16,14.72,0.32,0.32,20.48,3.52,0.32,0,0,8,0.64
22Month,0,0,1.09,0,0,0,0,0.55,5.47,0,0,1.09,0,0,0.55,0,0,0,0,1.09,7.65,18.04,0,0,10.39,7.65,0,0,0,0,0
