stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0
21Day,1.34,0,0,1.34,0,1.34,1.34,0,5.35,0,0,0,0
3Month,0,0.64,0,0.32,0.32,0.32,0,0.32,0,0.32,0.96,1.28,0.32
22Month,0,0,0,0,3.28,0,0,0,0,0,0,0,0
