stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,151.2,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,18.19,5.35,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,19.26,0,0,0,6.42,3.21,0,0,5.35,0,0,0,0,0
21Day,70.94,0,0,4.02,0,1.34,0,0,0,0,0,0,1.34,0,0,2.68,1.34,14.72,0,2.68,0,2.68,0,0,0,1.34,0,0,1.34,0,0
3Month,2.88,6.72,1.28,11.52,0.32,0,0.32,0,0,1.28,29.12,1.6,0,0.96,0,9.92,0.64,5.76,0.32,4.48,0,0,0.32,0,0.32,0.32,0,0.64,0,0.32,0.64
22Month,0.55,7.11,0.55,2.73,0,0,0,0.55,0.55,1.09,14.21,0.55,0,0.55,0.55,1.64,2.73,4.92,0,1.64,0.55,0,0,0.55,0,0,0.55,1.09,0.55,0,0.55
