stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,32.69,0,0,0,0,0,0,0,0,0,28.6,4.09,0,0,0,0,0,12.26,0,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,6.42,28.88,1.07,0,0,0,0,0,0,0,1.07,6.42,0,0,0,0,0,2.14,11.77,1.07,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,1.34,9.37,5.35,2.68,0,0,0,0,0,0,4.02,1.34,8.03,1.34,1.34,0,0,0,0,2.68,0,0,0,0,0,5.35,2.68,1.34,0,0,0,0
3Month,0,0.32,0.64,24.32,0.32,0,0.32,2.24,2.24,16.64,3.2,0,6.08,10.56,3.2,2.24,3.2,0.64,0.32,1.28,1.92,2.88,0,1.28,0,0,1.28,52.15,0.64,0,0,0.96,608.86,0.96
22Month,0,1.09,0,12.57,0.55,0,0,0.55,1.09,4.92,0,0.55,1.64,0.55,0.55,1.64,0,0,0,0,0.55,0.55,0,0,0.55,0.55,0,25.15,0.55,0,0,0,1.64,0
