stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0
72hpf,3.21,1.07,0,1.07,1.07,1.07,0,0,0,1.07
21Day,1.34,0,0,0,0,0,0,1.34,0,0
3Month,0,0,0.64,0,0,0,0,0,0.32,0
