stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0,0,4.09,69.47,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,3.21,1.07,1.07,5.35,0,1.07,0,0,35.3,31.02,0,1.07,2.14,0,0,6.42,1.07,0,1.07,0,0,0
21Day,1.34,0,0,14.72,1.34,0,0,0,1.34,0,0,0,5.35,0,0,2.68,25.43,6.69,0,0,1.34,0,12.05,10.71,0,0,2.68,0,0,1.34,1.34,1.34,0,0,0,5.35
3Month,0,0.96,0.64,13.12,0,0.96,0.32,1.6,24.96,0,14.72,5.76,0.32,7.36,3.2,6.4,31.99,5.12,1.6,0,2.56,0.32,0.96,0.32,1.28,0.32,0.32,1.28,2.24,0,0,0,0.32,1.92,1.6,19.2
22Month,0.55,2.19,0.55,6.56,0,0.55,1.64,2.19,66.15,4.37,136.66,9.29,2.73,12.57,0.55,2.19,43.73,11.48,0,1.64,1.64,0,1.09,0,0.55,0.55,0.55,0.55,1.09,1.64,0.55,0,0,0.55,0,17.49
