stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,3.21,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,1.07,0,0,0,0,7.49,2.14,0,0,0,1.07,0,3.21,1.07,1.07,0,0,0
21Day,0,0,0,5.35,0,2.68,0,2.68,0,0,0,0,0,0,1.34,0,1.34,1.34,0,1.34,0,0,0,0,2.68,1.34,0,0,0,0,0,24.09,0,0,0,0,0
3Month,0.32,0.32,0.64,15.04,0.32,0,0.32,0.32,0.32,1.6,3.52,0,16.32,5.44,0.32,5.12,0.64,3.52,1.92,8.32,0.96,0.64,0.64,1.6,1.28,0,1.6,1.6,0,0,3.2,417.21,0.32,0.32,4.16,49.59,5.12
22Month,0,0,0,2.73,0,0,0,0,0,1.09,2.73,0,16.95,0.55,1.64,2.73,0,0,1.64,0.55,0,1.09,0.55,0,0,0,0.55,0,13.67,0,0,140.49,0,0,0,0.55,0.55
