stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,16.35,0,0,0,0,0,0,0,0,0,0,4.09,12.26,57.21,0,0,0,4.09,8.17,518.97,0,0,28.6,0,0,0,0,0,4.09,0,0,0
72hpf,5.35,2.14,0,4.28,0,1.07,0,0,0,0,0,0,0,5.35,5.35,0,18.19,0,0,0,0,109.12,71.68,1.07,0,13.91,0,0,9.63,0,0,0,0,0,0
21Day,0,1.34,0,12.05,0,8.03,5.35,0,0,0,0,4.02,1.34,0,1.34,5.35,20.08,0,0,2.68,0,34.8,41.49,0,0,4.02,4.02,0,1.34,0,1.34,0,0,0,0
3Month,0,0.64,0.32,3.84,0.32,0,0,0.64,5.12,10.88,0.32,0.64,4.48,1.28,1.28,3.2,1.6,0.32,0,0,1.28,0.96,0,0,0,0,0,18.56,0.32,0,0,1.28,0.96,0.32,0.32
22Month,1.09,0.55,0,1.64,0,0,0.55,0,2.73,12.03,1.09,1.64,3.83,0,0.55,1.64,0.55,0,0.55,0,0,0,0,0,1.09,0,0,3.28,0,1.09,0,0,0,0,0
