stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,44.95,0,8.17,0,0,0,0,0,4.09,16.35,12.26,20.43,0,0,0,4.09,147.11,0,0,0,0,0
72hpf,4.28,4.28,0,3.21,0,0,0,0,0,0,9.63,0,5.35,0,1.07,0,4.28,4.28,0,0,0,0,0
21Day,29.45,9.37,1.34,24.09,8.03,0,0,0,0,2.68,16.06,0,9.37,0,0,0,2.68,4.02,2.68,4.02,0,1.34,0
3Month,0,3.52,0,0,0.96,0.64,0,0.64,1.28,0.32,3.84,0.64,1.6,0.32,0,0.32,0,0,0,0,8.64,0,0.32
22Month,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
