stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Mt_rich_cell,Neural_cell,T_cell
24hpf,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0
22Month,0.55,1.09,1.09,24.6,1.09,0,0.55
