stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,4.09,0,0,0,0,0,4.09,4.09,4.09,0,4.09,32.69,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,4.28,1.07,0,1.07,0,1.07,0,0
21Day,1.34,0,1.34,0,1.34,0,0,0,1.34,0,0,0,0,4.02,5.35,1.34,0,0,0,1.34,0,0
3Month,0,0.32,2.24,0,0,0.32,0,0,0.32,0.96,0.96,0,0,0.96,0,0,0,0,0.96,0,3.2,0.32
22Month,0,1.64,2.73,0.55,0,0,2.19,1.09,4.92,12.03,0,0.55,1.09,0.55,0,0,1.09,0,2.19,0,0,0.55
