stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,12.84,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,18.19,0,0,0,3.21,1.07,0,0,11.77,0,0,3.21,0,0,0,0,0
21Day,9.37,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,1.34,105.74,0,0,0,10.71,5.35,0,0,30.79,1.34,0,0,0,0,0,0,1.34
3Month,3.2,8,1.28,13.44,0.32,0,0.64,0.32,6.08,0.32,27.2,0,20.8,4.48,0.64,7.36,1.92,6.08,10.24,211.81,779.4,7.36,1.28,3.52,0,0.32,0.64,0.32,5.76,37.75,36.47,0,4.16,0.96,41.59,4.48
22Month,2.19,2.73,0.55,3.28,0,0,0.55,0,1.09,0,4.92,1.09,17.49,0,0,2.73,1.64,1.09,0.55,141.04,25.15,1.64,0,0,0,1.09,1.09,1.09,1.09,28.43,94.57,1.09,1.09,0.55,0,1.09
