stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,20.43,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,16.35,4.09,0,0,0,0,0,0,0
72hpf,6.42,9.63,0,3.21,3.21,0,0,0,0,0,0,0,2.14,1.07,10.7,0,1.07,324.15,43.86,8.56,0,0,1.07,0,0,0,0
21Day,1.34,4.02,0,1.34,2.68,0,0,0,0,0,0,0,0,0,14.72,0,1.34,50.86,10.71,5.35,2.68,0,0,1.34,0,0,0
3Month,0,0.96,0.32,1.92,0,0.32,0,0.32,0.96,0.32,0.64,0.64,1.28,2.24,2.56,0.32,0.32,0.64,0,0,0.32,1.6,0,0,0.32,2.56,0.64
22Month,0,2.19,0,0,0,0,0.55,4.37,1.64,0,0,0,0.55,0.55,3.83,0,1.09,0,0,0,0,0,0,0,0,1.09,0
