stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,19.26,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,9.63,0,4.28,6.42,0,0,0,0,0,0,0,0,0,0
21Day,21.42,0,0,5.35,0,14.72,0,5.35,0,0,0,38.82,0,6.69,1.34,0,1.34,2.68,16.06,0,0,1.34,6.69,2.68,0,0,2.68,8.03,0,2.68,2.68,0,0,2.68
3Month,0.64,0.32,0.32,4.48,0.32,0,0.64,0,0.96,2.24,0.32,276.12,1.28,0.64,6.4,1.28,1.92,1.28,1.28,0.96,0,0,0.64,0,0,0.32,0.32,4.8,1.28,0,0,0.64,0.64,1.6
22Month,0,1.64,0.55,1.64,0.55,0,0.55,0,0.55,5.47,0.55,728.69,4.37,1.09,3.83,0.55,0.55,2.73,1.09,0,30.61,0.55,1.64,0.55,0.55,0,0.55,2.19,0.55,0,0,0,0,2.19
