stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,28.6,0,0,0,0,8.17,0,4.09,0,0,0,8.17,0,4.09,0,347.34,0,0,0,0,0,8.17,53.12,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,12.84,0,3.21,3.21,0,5.35,0,5.35,0,0,0,4.28,0,1.07,5.35,7.49,3.21,0,0,0,0,33.16,11.77,0,1.07,2.14,0,0,0,1.07,1.07,0,1.07,0,0,0
21Day,0,13.39,0,5.35,10.71,0,17.4,0,24.09,0,1.34,8.03,41.49,1.34,0,1.34,37.48,29.45,0,0,6.69,0,8.03,8.03,0,1.34,5.35,0,0,0,0,1.34,4.02,0,0,0,25.43
3Month,0.64,35.51,1.92,20.48,0,3.2,9.28,2.56,433.85,0,24,366.66,18.24,8.32,0.96,5.12,95.02,23.36,8.64,1.28,3.52,1.6,0.64,0,1.6,0.64,0.96,6.08,1.28,8,1.6,0,0,0,88.63,7.36,47.67
22Month,3.28,57.4,0.55,6.01,0,4.92,9.84,1.09,608.43,2.73,30.61,160.17,38.81,7.11,1.64,1.09,123,36.08,2.19,2.73,1.09,0,1.64,0.55,0.55,0.55,2.19,1.09,0,0.55,1.64,1.09,0,0,18.04,0,29.52
