stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,57.21,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,11.77,2.14,0,2.14,0,0,0,0,23.54,9.63,1.07,1.07,0,0,0,0,0,0,0,0
21Day,2.68,0,9.37,5.35,1.34,0,0,1.34,0,1.34,0,1.34,139.21,0,2.68,1.34,13.39,0,0,1.34,1.34,10.71,1.34,1.34,1.34,2.68,0,1.34,2.68,1.34,0,0,2.68
3Month,0.32,1.28,7.36,20.8,0,2.56,16,3.2,0,24.96,4.16,0,828.67,0.64,5.12,5.44,6.4,1.28,0.32,13.12,0.96,0.64,0,9.92,0.64,3.52,4.16,0,0,0,1.28,3.52,2.88
22Month,0,1.64,6.56,5.47,0,0.55,18.59,3.28,1.09,47.56,1.09,0,871.37,0,0.55,2.19,3.83,1.64,2.73,13.12,0,1.64,0.55,3.28,2.19,0,0.55,0,0,0,0,0,0.55
