stage,Epithelial_cell,Epithelial_cell__Brain_,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,8.17,4.09,4.09,8.17,0,28.6,0
72hpf,0,0,0,1.07,3.21,1.07,0
21Day,0,0,0,0,0,1.34,1.34
