stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Hatching_gland,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,4.28,0,0,1.07,0,0,1.07,0,0,0,0
21Day,4.02,0,2.68,0,0,0,2.68,0,0,0,0,0,0
3Month,0,0.32,2.88,0,0,0,0.32,0,0,0,0.64,0,0.32
22Month,0,0,0.55,0,1.09,0,1.64,0.55,0,0,0,1.64,0
