stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,9.63,0,0,0,0,0,0,0,4.28,2.14,0,3.21,0,1.07,1.07,7.49,174.38,28.88,0,0,0,5.35,1.07,0,2.14,0,0,0
21Day,1.34,0,1.34,10.71,1.34,0,0,1.34,0,6.69,0,0,1.34,2.68,1.34,0,0,0,0,64.25,24.09,0,0,0,2.68,5.35,4.02,0,2.68,0,1.34
3Month,0.64,0.64,0.64,9.28,0,0.32,0.64,8,0.64,0,4.16,0.64,2.88,8.96,0.64,0.64,0,0.64,43.19,0.96,0.32,1.28,0,0,0,1.92,21.76,0.32,0,0.32,1.6
22Month,0,0,0.55,0.55,0,0.55,2.19,13.67,0.55,0,3.28,0,0,2.19,1.09,0,0,0.55,0.55,2.73,0,1.09,0.55,3.28,0,0,30.61,0.55,0,0,0
