stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0,359.6,8.17,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,6.42,1.07,0,0,0,0,2.14,0,0,0,3.21,0,9.63,7.49,62.05,2.14,0,4.28,0,0,8.56,12.84,1.07,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,12.05,0,0,5.35,0,0,28.11,0,0,0,30.79,0,5.35,5.35,232.9,12.05,0,1.34,0,0,5.35,2.68,0,2.68,1.34,1.34,0,1.34,0,0,0,0,10.71
3Month,0,1.92,2.88,16,0,1.92,0.32,0.32,3.52,386.18,0,30.72,476.08,7.68,13.44,1.28,5.12,447.61,7.36,1.28,0.32,6.4,2.56,0.32,0,0.64,0.64,0.96,12.8,3.52,13.44,0.32,0,2.56,7.36,21.44
22Month,0,6.56,5.47,17.49,0,5.47,2.73,0,7.65,942.43,4.92,63.96,326.9,20.77,31.16,0.55,1.64,1477.61,7.11,0.55,3.28,6.56,0.55,1.09,0.55,0.55,2.73,0.55,1.64,0,31.16,0,2.73,0,0,44.28
